SUBJ_NAME,TEXT,X,Y,FDUR,READMODE,WINC,CINC,PHASE
s01,art_contemporain-f1,260.9,263.1,132,0,0,0,0
s01,art_contemporain-f1,310.8,278.2,122,0,0,0,0
s01,art_contemporain-f1,372.6,278.7,98,2,2,4,0
s01,art_contemporain-f1,486.1,282.5,385,0,0,0,0
s01,art_contemporain-f1,516.9,283.2,129,1,1,1,0
s01,art_contemporain-f1,577.3,287.2,167,2,2,4,0
s01,art_contemporain-f1,682.3,290.5,204,2,3,10,1
s01,art_contemporain-f1,318.7,344.5,162,-2,-2,-5,1
s01,art_contemporain-f1,286.1,359.2,133,0,0,0,1
s01,art_contemporain-f1,269.3,357.4,95,2,2,5,1
s01,art_contemporain-f1,397.2,346.5,171,1,1,1,1
s01,art_contemporain-f1,448.9,353.2,113,2,2,4,0
s01,art_contemporain-f1,610.7,353.0,205,2,2,12,0
s01,art_contemporain-f1,391.4,425.5,177,-1,-1,-1,0
s01,art_contemporain-f1,275.5,417.5,149,-1,-1,-1,0
s01,art_contemporain-f1,562.2,363.0,169,0,0,0,2
s01,art_contemporain-f1,548.3,354.7,85,1,1,1,2
s01,art_contemporain-f1,315.6,425.8,255,2,3,12,2
s01,art_contemporain-f1,576.6,406.8,268,-2,-4,-23,2
s01,art_contemporain-f1,610.6,358.7,124,2,6,36,2
s01,art_contemporain-f1,696.5,414.7,398,1,1,1,3
s01,art_contemporain-f1,290.8,473.1,215,2,2,4,3
s01,art_contemporain-f1,420.9,477.6,180,0,0,0,3
s01,art_contemporain-f1,387.9,475.4,141,0,0,0,3
s01,art_contemporain-f2,284.6,275.6,135,1,1,1,3
s01,art_contemporain-f2,340.9,268.8,56,0,0,0,3
s01,art_contemporain-f2,412.6,269.0,206,1,1,1,3
s01,art_contemporain-f2,470.2,272.2,209,2,3,7,3
s01,art_contemporain-f2,615.3,277.5,388,2,2,4,3
s01,art_contemporain-f2,701.4,280.4,120,1,1,1,3
s01,art_contemporain-f2,329.1,348.3,255,2,3,13,1
s01,art_contemporain-f2,553.9,345.9,138,1,1,1,1
s01,art_contemporain-f2,634.2,350.4,247,2,3,14,1
s01,art_contemporain-f2,370.6,427.7,159,0,0,0,1
s01,art_contemporain-f2,386.2,422.1,94,0,0,0,4
s01,art_contemporain-f2,463.4,418.0,156,1,1,1,4
s01,art_contemporain-f2,548.0,419.2,119,2,8,41,4
s01,art_contemporain-f2,623.6,495.9,96,0,0,0,4
s01,art_contemporain-f2,597.9,478.8,185,0,0,0,4
